Results	Entity	Line	Column	CheckID	Check Name
      Inappropriate global declaration clang_remap_getFilenames.	clang_remap_getFilenames	126	5	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_remap_dispose.	clang_remap_dispose	136	5	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Using-directive found in file: ARCMigrate.cpp.	ARCMigrate.cpp	20	16	MISRA08_7-3-4	7-3-4 using-directives shall not be used
      Using-directive found in file: ARCMigrate.cpp.	ARCMigrate.cpp	21	16	MISRA08_7-3-4	7-3-4 using-directives shall not be used
    BuildSystem.cpp					
      Violation: clang_getBuildSessionTimestamp defined but not called.	clang_getBuildSessionTimestamp	26	19	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_VirtualFileOverlay_addFileMapping defined but not called.	clang_VirtualFileOverlay_addFileMapping	38	0	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_VirtualFileOverlay_setCaseSensitivity defined but not called.	clang_VirtualFileOverlay_setCaseSensitivity	61	0	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_VirtualFileOverlay_writeToBuffer defined but not called.	clang_VirtualFileOverlay_writeToBuffer	70	0	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_free defined but not called.	clang_free	87	5	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_VirtualFileOverlay_dispose defined but not called.	clang_VirtualFileOverlay_dispose	91	5	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_ModuleMapDescriptor_create defined but not called.	clang_ModuleMapDescriptor_create	101	22	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_ModuleMapDescriptor_setFrameworkModuleName defined but not called.	clang_ModuleMapDescriptor_setFrameworkModuleName	106	0	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_ModuleMapDescriptor_setUmbrellaHeader defined but not called.	clang_ModuleMapDescriptor_setUmbrellaHeader	116	0	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_ModuleMapDescriptor_writeToBuffer defined but not called.	clang_ModuleMapDescriptor_writeToBuffer	126	0	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_ModuleMapDescriptor_dispose defined but not called.	clang_ModuleMapDescriptor_dispose	149	5	MISRA08_0-1-10	0-1-10 All defined functions called
      Unused Parameter [unnamed] in Non Virtual Functions	[unnamed]	70	65	MISRA08_0-1-11	0-1-11 A There shall be no unused parameters (named or unnamed) in non-virtual functions
      Unused Parameter [unnamed] in Non Virtual Functions	[unnamed]	101	55	MISRA08_0-1-11	0-1-11 A There shall be no unused parameters (named or unnamed) in non-virtual functions
      Unused Parameter [unnamed] in Non Virtual Functions	[unnamed]	126	67	MISRA08_0-1-11	0-1-11 A There shall be no unused parameters (named or unnamed) in non-virtual functions
      Unused Variable	ModuleName	97	14	MISRA08_0-1-3	0-1-3 A project shall not contain unused variables
      Unused Variable	UmbrellaHeader	98	14	MISRA08_0-1-3	0-1-3 A project shall not contain unused variables
      Unused Type declaration CXModuleMapDescriptorImpl	CXModuleMapDescriptorImpl	96	7	MISRA08_0-1-5	0-1-5 A project shall not contain unused type declarations
      Violation: File contains invalid dynamic memory statement.	free	88	2	MISRA08_18-4-1	18-4-1 Dynamic heap memory allocation shall not be used.
      Violation: File contains invalid dynamic memory statement.		34	14	MISRA08_18-4-1	18-4-1 Dynamic heap memory allocation shall not be used.
      Violation: File contains invalid dynamic memory statement.		92	2	MISRA08_18-4-1	18-4-1 Dynamic heap memory allocation shall not be used.
      Violation: File contains invalid dynamic memory statement.		102	9	MISRA08_18-4-1	18-4-1 Dynamic heap memory allocation shall not be used.
      Violation: File contains invalid dynamic memory statement.		150	2	MISRA08_18-4-1	18-4-1 Dynamic heap memory allocation shall not be used.
      An object or function, clang_getBuildSessionTimestamp, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_getBuildSessionTimestamp	26	19	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_VirtualFileOverlay_addFileMapping, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_VirtualFileOverlay_addFileMapping	38	0	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_VirtualFileOverlay_setCaseSensitivity, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_VirtualFileOverlay_setCaseSensitivity	61	0	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_VirtualFileOverlay_writeToBuffer, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_VirtualFileOverlay_writeToBuffer	70	0	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_free, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_free	87	5	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_VirtualFileOverlay_dispose, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_VirtualFileOverlay_dispose	91	5	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_ModuleMapDescriptor_create, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_ModuleMapDescriptor_create	101	22	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_ModuleMapDescriptor_setFrameworkModuleName, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_ModuleMapDescriptor_setFrameworkModuleName	106	0	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_ModuleMapDescriptor_setUmbrellaHeader, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_ModuleMapDescriptor_setUmbrellaHeader	116	0	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_ModuleMapDescriptor_writeToBuffer, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_ModuleMapDescriptor_writeToBuffer	126	0	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_ModuleMapDescriptor_dispose, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_ModuleMapDescriptor_dispose	149	5	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      Violation: basic numerical type "long" used in "unsigned long long".	clang_getBuildSessionTimestamp	26	19	MISRA08_3-9-2	3-9-2 Typedefs that indicate size and signedness should be used in place of the basic numerical types
      Violation: basic numerical type "char" used in "const char *".	virtualPath	39	52	MISRA08_3-9-2	3-9-2 Typedefs that indicate size and signedness should be used in place of the basic numerical types
      Violation: basic numerical type "char" used in "const char *".	realPath	40	52	MISRA08_3-9-2	3-9-2 Typedefs that indicate size and signedness should be used in place of the basic numerical types
      Violation: basic numerical type "int" used.	caseSensitive	62	48	MISRA08_3-9-2	3-9-2 Typedefs that indicate size and signedness should be used in place of the basic numerical types
      Violation: basic numerical type "char" used in "char **".	out_buffer_ptr	71	46	MISRA08_3-9-2	3-9-2 Typedefs that indicate size and signedness should be used in place of the basic numerical types
      Violation: basic numerical type "char" used in "const char *".	name	107	61	MISRA08_3-9-2	3-9-2 Typedefs that indicate size and signedness should be used in place of the basic numerical types
      Violation: basic numerical type "char" used in "const char *".	name	117	56	MISRA08_3-9-2	3-9-2 Typedefs that indicate size and signedness should be used in place of the basic numerical types
      Violation: basic numerical type "char" used in "char **".	out_buffer_ptr	127	46	MISRA08_3-9-2	3-9-2 Typedefs that indicate size and signedness should be used in place of the basic numerical types
      If statement not enclosed in curly braces { } in BuildSystem.cpp.	clang_VirtualFileOverlay_addFileMapping	42	35	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      If statement not enclosed in curly braces { } in BuildSystem.cpp.	clang_VirtualFileOverlay_addFileMapping	44	35	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      If statement not enclosed in curly braces { } in BuildSystem.cpp.	clang_VirtualFileOverlay_addFileMapping	46	35	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      If statement not enclosed in curly braces { } in BuildSystem.cpp.	clang_VirtualFileOverlay_addFileMapping	53	37	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      If statement not enclosed in curly braces { } in BuildSystem.cpp.	clang_VirtualFileOverlay_setCaseSensitivity	64	35	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      If statement not enclosed in curly braces { } in BuildSystem.cpp.	clang_VirtualFileOverlay_writeToBuffer	74	35	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      If statement not enclosed in curly braces { } in BuildSystem.cpp.	clang_ModuleMapDescriptor_setFrameworkModuleName	109	35	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      If statement not enclosed in curly braces { } in BuildSystem.cpp.	clang_ModuleMapDescriptor_setUmbrellaHeader	119	35	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      If statement not enclosed in curly braces { } in BuildSystem.cpp.	clang_ModuleMapDescriptor_writeToBuffer	130	35	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      For loop contains more than one loop counter	clang_VirtualFileOverlay_addFileMapping	49	38	MISRA08_6-5-1	6-5-1 A for loop shall contain a single loop-counter which shall not have floating type
      Inappropriate condition test in for loop	clang_VirtualFileOverlay_addFileMapping	50	52	MISRA08_6-5-2	6-5-2 If loop-counter is not modified by -- or ++, then, within condition, the loop-counter shall only be used as an operand to <=, <, > or >=
      Multiple exit points from function	clang_VirtualFileOverlay_addFileMapping	38	0	MISRA08_6-6-5	6-6-5 A function shall have a single point of exit at the end of the function
      Multiple exit points from function	clang_VirtualFileOverlay_setCaseSensitivity	61	0	MISRA08_6-6-5	6-6-5 A function shall have a single point of exit at the end of the function
      Multiple exit points from function	clang_VirtualFileOverlay_writeToBuffer	70	0	MISRA08_6-6-5	6-6-5 A function shall have a single point of exit at the end of the function
      Multiple exit points from function	clang_ModuleMapDescriptor_setFrameworkModuleName	106	0	MISRA08_6-6-5	6-6-5 A function shall have a single point of exit at the end of the function
      Multiple exit points from function	clang_ModuleMapDescriptor_setUmbrellaHeader	116	0	MISRA08_6-6-5	6-6-5 A function shall have a single point of exit at the end of the function
      Multiple exit points from function	clang_ModuleMapDescriptor_writeToBuffer	126	0	MISRA08_6-6-5	6-6-5 A function shall have a single point of exit at the end of the function
      Unmodified value VFO not const qualified	VFO	38	61	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value Comp not const qualified	Comp	51	14	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value VFO not const qualified	VFO	61	65	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value caseSensitive not const qualified	caseSensitive	62	48	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value VFO not const qualified	VFO	70	60	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value out_buffer_ptr not const qualified	out_buffer_ptr	71	46	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value out_buffer_size not const qualified	out_buffer_size	72	49	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value Data not const qualified	Data	80	12	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value buffer not const qualified	buffer	87	22	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value VFO not const qualified	VFO	91	59	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value MMD not const qualified	MMD	106	71	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value MMD not const qualified	MMD	116	66	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value MMD not const qualified	MMD	126	62	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value out_buffer_ptr not const qualified	out_buffer_ptr	127	46	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value out_buffer_size not const qualified	out_buffer_size	128	49	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value Data not const qualified	Data	142	12	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value MMD not const qualified	MMD	149	61	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified pointer or reference parameter not declared as const	buffer	87	22	MISRA08_7-1-2	7-1-2 A pointer or reference parameter in a function shall be declared as pointer to const or reference to const if the corresponding object is not modified
      Inappropriate global declaration clang_getBuildSessionTimestamp.	clang_getBuildSessionTimestamp	26	19	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration DEFINE_SIMPLE_CONVERSION_FUNCTIONS.	DEFINE_SIMPLE_CONVERSION_FUNCTIONS	30	0	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_VirtualFileOverlay_addFileMapping.	clang_VirtualFileOverlay_addFileMapping	38	0	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_VirtualFileOverlay_setCaseSensitivity.	clang_VirtualFileOverlay_setCaseSensitivity	61	0	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_VirtualFileOverlay_writeToBuffer.	clang_VirtualFileOverlay_writeToBuffer	70	0	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_free.	clang_free	87	5	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_VirtualFileOverlay_dispose.	clang_VirtualFileOverlay_dispose	91	5	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration CXModuleMapDescriptorImpl.	CXModuleMapDescriptorImpl	96	7	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_ModuleMapDescriptor_create.	clang_ModuleMapDescriptor_create	101	22	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_ModuleMapDescriptor_setFrameworkModuleName.	clang_ModuleMapDescriptor_setFrameworkModuleName	106	0	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_ModuleMapDescriptor_setUmbrellaHeader.	clang_ModuleMapDescriptor_setUmbrellaHeader	116	0	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_ModuleMapDescriptor_writeToBuffer.	clang_ModuleMapDescriptor_writeToBuffer	126	0	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_ModuleMapDescriptor_dispose.	clang_ModuleMapDescriptor_dispose	149	5	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Using-directive found in file: BuildSystem.cpp.	BuildSystem.cpp	23	16	MISRA08_7-3-4	7-3-4 using-directives shall not be used
      Using-directive found in file: BuildSystem.cpp.	BuildSystem.cpp	24	22	MISRA08_7-3-4	7-3-4 using-directives shall not be used
      Function identifier OS used incorrectly	OS	78	21	MISRA08_8-4-4	8-4-4 A function identifier shall either be used to call the function or it shall be preceded by &
      Function identifier OS used incorrectly	OS	80	19	MISRA08_8-4-4	8-4-4 A function identifier shall either be used to call the function or it shall be preceded by &
      Function identifier OS used incorrectly	OS	134	2	MISRA08_8-4-4	8-4-4 A function identifier shall either be used to call the function or it shall be preceded by &
      Function identifier OS used incorrectly	OS	135	2	MISRA08_8-4-4	8-4-4 A function identifier shall either be used to call the function or it shall be preceded by &
      Function identifier OS used incorrectly	OS	136	2	MISRA08_8-4-4	8-4-4 A function identifier shall either be used to call the function or it shall be preceded by &
      Function identifier OS used incorrectly	OS	137	2	MISRA08_8-4-4	8-4-4 A function identifier shall either be used to call the function or it shall be preceded by &
      Function identifier OS used incorrectly	OS	138	2	MISRA08_8-4-4	8-4-4 A function identifier shall either be used to call the function or it shall be preceded by &
      Function identifier OS used incorrectly	OS	139	2	MISRA08_8-4-4	8-4-4 A function identifier shall either be used to call the function or it shall be preceded by &
      Function identifier OS used incorrectly	OS	140	2	MISRA08_8-4-4	8-4-4 A function identifier shall either be used to call the function or it shall be preceded by &
      Function identifier OS used incorrectly	OS	142	19	MISRA08_8-4-4	8-4-4 A function identifier shall either be used to call the function or it shall be preceded by &
    CIndex.cpp					
      Static Identifier 'translateSourceRange' reused	translateSourceRange	141	63	MISRA08_2-10-5	2-10-5 The identifier name of a non-member object or function with static storage duration should not be reused
      Static Identifier 'getASTContext' reused	getASTContext	0	0	MISRA08_2-10-5	2-10-5 The identifier name of a non-member object or function with static storage duration should not be reused
      Static Identifier 'getASTContext' reused	getASTContext	5768	53	MISRA08_2-10-5	2-10-5 The identifier name of a non-member object or function with static storage duration should not be reused
      Violation: Function "clang::cxindex::checkForMacroInMacroDefinition" (which has external linkage) defined multiple times.	checkForMacroInMacroDefinition	8786	9	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Function "clang::cxindex::checkForMacroInMacroDefinition" (which has external linkage) defined multiple times.	checkForMacroInMacroDefinition	8827	9	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Function "clang::cxindex::getMacroInfo" (which has external linkage) defined multiple times.	getMacroInfo	8752	20	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Function "clang::cxindex::getMacroInfo" (which has external linkage) defined multiple times.	getMacroInfo	8774	26	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Public Function "clang::cxindex::Logger::operator<<" (which has external linkage) defined multiple times.	operator<<	8850	25	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Public Function "clang::cxindex::Logger::operator<<" (which has external linkage) defined multiple times.	operator<<	8864	25	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Public Function "clang::cxindex::Logger::operator<<" (which has external linkage) defined multiple times.	operator<<	8869	25	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Public Function "clang::cxindex::Logger::operator<<" (which has external linkage) defined multiple times.	operator<<	8876	25	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Public Function "clang::cxindex::Logger::operator<<" (which has external linkage) defined multiple times.	operator<<	8886	25	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Public Function "clang::cxindex::Logger::operator<<" (which has external linkage) defined multiple times.	operator<<	8914	25	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Public Function "clang::cxindex::Logger::operator<<" (which has external linkage) defined multiple times.	operator<<	8919	25	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Private Function "MarkMacroArgTokensVisitor::getTok" (which has external linkage) defined multiple times.	getTok	7347	11	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Private Const Function "MarkMacroArgTokensVisitor::getTok" (which has external linkage) defined multiple times.	getTok	7351	17	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
      Violation: Private Function "AnnotateTokensWorker::getTok" (which has external linkage) defined multiple times.	getTok	6839	11	MISRA08_3-2-4	3-2-4 Is An identifier with external linkage shall have exactly one definition.
