Results,Entity,CheckID,Line,Column
            "Violation: clang_free defined but not called.","clang_free","MISRA08_0-1-10","87","5"
            "Violation: clang_VirtualFileOverlay_dispose defined but not called.","clang_VirtualFileOverlay_dispose","MISRA08_0-1-10","91","5"
            "Violation: clang_ModuleMapDescriptor_create defined but not called.","clang_ModuleMapDescriptor_create","MISRA08_0-1-10","101","22"
            "Violation: clang_ModuleMapDescriptor_setFrameworkModuleName defined but not called.","clang_ModuleMapDescriptor_setFrameworkModuleName","MISRA08_0-1-10","106","0"
            "Violation: clang_ModuleMapDescriptor_setUmbrellaHeader defined but not called.","clang_ModuleMapDescriptor_setUmbrellaHeader","MISRA08_0-1-10","116","0"
            "Violation: clang_ModuleMapDescriptor_writeToBuffer defined but not called.","clang_ModuleMapDescriptor_writeToBuffer","MISRA08_0-1-10","126","0"
            "Violation: clang_ModuleMapDescriptor_dispose defined but not called.","clang_ModuleMapDescriptor_dispose","MISRA08_0-1-10","149","5"
          "<a id=""8"">CIndex.cpp</a>","","","",""
            "Violation: clang_createIndex defined but not called.","clang_createIndex","MISRA08_0-1-10","3250","8"
            "Violation: clang_disposeIndex defined but not called.","clang_disposeIndex","MISRA08_0-1-10","3285","5"
            "Violation: clang_CXIndex_setGlobalOptions defined but not called.","clang_CXIndex_setGlobalOptions","MISRA08_0-1-10","3290","5"
            "Violation: clang_CXIndex_getGlobalOptions defined but not called.","clang_CXIndex_getGlobalOptions","MISRA08_0-1-10","3295","9"
            "Violation: clang_CXIndex_setInvocationEmissionPathOption defined but not called.","clang_CXIndex_setInvocationEmissionPathOption","MISRA08_0-1-10","3301","5"
            "Violation: clang_toggleCrashRecovery defined but not called.","clang_toggleCrashRecovery","MISRA08_0-1-10","3307","5"
            "Violation: clang_createTranslationUnit defined but not called.","clang_createTranslationUnit","MISRA08_0-1-10","3314","18"
            "Violation: clang_defaultEditingTranslationUnitOptions defined but not called.","clang_defaultEditingTranslationUnitOptions","MISRA08_0-1-10","3355","9"
            "Violation: clang_createTranslationUnitFromSourceFile defined but not called.","clang_createTranslationUnitFromSourceFile","MISRA08_0-1-10","3361","0"
            "Violation: clang_Type_getObjCEncoding defined but not called.","clang_Type_getObjCEncoding","MISRA08_0-1-10","3614","9"
            "Violation: clang_Cursor_isMacroFunctionLike defined but not called.","clang_Cursor_isMacroFunctionLike","MISRA08_0-1-10","3635","9"
            "Violation: clang_Cursor_isMacroBuiltin defined but not called.","clang_Cursor_isMacroBuiltin","MISRA08_0-1-10","3647","9"
            "Violation: clang_Cursor_isFunctionInlined defined but not called.","clang_Cursor_isFunctionInlined","MISRA08_0-1-10","3659","9"
            "Violation: clang_EvalResult_dispose defined but not called.","clang_EvalResult_dispose","MISRA08_0-1-10","3709","5"
            "Violation: clang_EvalResult_getKind defined but not called.","clang_EvalResult_getKind","MISRA08_0-1-10","3713","17"
            "Violation: clang_EvalResult_getAsInt defined but not called.","clang_EvalResult_getAsInt","MISRA08_0-1-10","3720","4"
            "Violation: clang_EvalResult_isUnsignedInt defined but not called.","clang_EvalResult_isUnsignedInt","MISRA08_0-1-10","3734","9"
            "Violation: clang_EvalResult_getAsUnsigned defined but not called.","clang_EvalResult_getAsUnsigned","MISRA08_0-1-10","3738","19"
            "Violation: clang_EvalResult_getAsDouble defined but not called.","clang_EvalResult_getAsDouble","MISRA08_0-1-10","3749","7"
            "Violation: clang_EvalResult_getAsStr defined but not called.","clang_EvalResult_getAsStr","MISRA08_0-1-10","3756","12"
            "Violation: clang_Cursor_Evaluate defined but not called.","clang_Cursor_Evaluate","MISRA08_0-1-10","3931","13"
            "Violation: clang_Cursor_hasAttrs defined but not called.","clang_Cursor_hasAttrs","MISRA08_0-1-10","3941","9"
            "Violation: clang_defaultSaveOptions defined but not called.","clang_defaultSaveOptions","MISRA08_0-1-10","3953","9"
            "Violation: clang_saveTranslationUnit defined but not called.","clang_saveTranslationUnit","MISRA08_0-1-10","3968","4"
            "Violation: clang_suspendTranslationUnit defined but not called.","clang_suspendTranslationUnit","MISRA08_0-1-10","4035","9"
            "Violation: clang_defaultReparseOptions defined but not called.","clang_defaultReparseOptions","MISRA08_0-1-10","4049","9"
            "Violation: clang_reparseTranslationUnit defined but not called.","clang_reparseTranslationUnit","MISRA08_0-1-10","4095","4"
            "Violation: clang_getTranslationUnitCursor defined but not called.","clang_getTranslationUnitCursor","MISRA08_0-1-10","4135","9"
            "Violation: clang_getTranslationUnitTargetInfo defined but not called.","clang_getTranslationUnitTargetInfo","MISRA08_0-1-10","4145","13"
            "Violation: clang_TargetInfo_getTriple defined but not called.","clang_TargetInfo_getTriple","MISRA08_0-1-10","4156","9"
            "Violation: clang_TargetInfo_getPointerWidth defined but not called.","clang_TargetInfo_getPointerWidth","MISRA08_0-1-10","4170","4"
            "Violation: clang_TargetInfo_dispose defined but not called.","clang_TargetInfo_dispose","MISRA08_0-1-10","4182","5"
            "Violation: clang_getFileTime defined but not called.","clang_getFileTime","MISRA08_0-1-10","4201","7"
            "Violation: clang_getFile defined but not called.","clang_getFile","MISRA08_0-1-10","4209","7"
            "Violation: clang_getFileContents defined but not called.","clang_getFileContents","MISRA08_0-1-10","4221","12"
            "Violation: clang_isFileMultipleIncludeGuarded defined but not called.","clang_isFileMultipleIncludeGuarded","MISRA08_0-1-10","4242","9"
            "Violation: clang_getFileUniqueID defined but not called.","clang_getFileUniqueID","MISRA08_0-1-10","4258","4"
            "Violation: clang_File_isEqual defined but not called.","clang_File_isEqual","MISRA08_0-1-10","4270","4"
            "Violation: clang_File_tryGetRealPathName defined but not called.","clang_File_tryGetRealPathName","MISRA08_0-1-10","4282","9"
            "Violation: clang_visitChildrenWithBlock defined but not called.","clang_visitChildrenWithBlock","MISRA08_0-1-10","4407","9"
            "Violation: clang_Cursor_getSpellingNameRange defined but not called.","clang_Cursor_getSpellingNameRange","MISRA08_0-1-10","4610","14"
            "Violation: clang_Cursor_getMangling defined but not called.","clang_Cursor_getMangling","MISRA08_0-1-10","4705","9"
            "Violation: clang_Cursor_getCXXManglings defined but not called.","clang_Cursor_getCXXManglings","MISRA08_0-1-10","4719","13"
            "Violation: clang_Cursor_getObjCManglings defined but not called.","clang_Cursor_getObjCManglings","MISRA08_0-1-10","4733","13"
            "Violation: clang_getCursorPrintingPolicy defined but not called.","clang_getCursorPrintingPolicy","MISRA08_0-1-10","4747","17"
            "Violation: clang_PrintingPolicy_dispose defined but not called.","clang_PrintingPolicy_dispose","MISRA08_0-1-10","4753","5"
            "Violation: clang_PrintingPolicy_getProperty defined but not called.","clang_PrintingPolicy_getProperty","MISRA08_0-1-10","4759","0"
            "Violation: clang_PrintingPolicy_setProperty defined but not called.","clang_PrintingPolicy_setProperty","MISRA08_0-1-10","4824","5"
            "Violation: clang_getCursorPrettyPrinted defined but not called.","clang_getCursorPrettyPrinted","MISRA08_0-1-10","4915","9"
            "Violation: clang_getCursor defined but not called.","clang_getCursor","MISRA08_0-1-10","5613","9"
            "Violation: clang_hashCursor defined but not called.","clang_hashCursor","MISRA08_0-1-10","5695","9"
            "Violation: clang_isInvalidDeclaration defined but not called.","clang_isInvalidDeclaration","MISRA08_0-1-10","5713","9"
            "Violation: clang_isUnexposed defined but not called.","clang_isUnexposed","MISRA08_0-1-10","5746","9"
            "Violation: clang_getCanonicalCursor defined but not called.","clang_getCanonicalCursor","MISRA08_0-1-10","6417","9"
            "Violation: clang_Cursor_getObjCSelectorIndex defined but not called.","clang_Cursor_getObjCSelectorIndex","MISRA08_0-1-10","6436","4"
            "Violation: clang_getOverloadedDecl defined but not called.","clang_getOverloadedDecl","MISRA08_0-1-10","6459","9"
            "Violation: clang_getDefinitionSpellingAndExtent defined but not called.","clang_getDefinitionSpellingAndExtent","MISRA08_0-1-10","6486","5"
            "Violation: clang_enableStackTraces defined but not called.","clang_enableStackTraces","MISRA08_0-1-10","6556","5"
            "Violation: clang_executeOnThread defined but not called.","clang_executeOnThread","MISRA08_0-1-10","6561","5"
            "Violation: clang_getTokenSpelling defined but not called.","clang_getTokenSpelling","MISRA08_0-1-10","6582","9"
            "Violation: clang_getTokenExtent defined but not called.","clang_getTokenExtent","MISRA08_0-1-10","6638","14"
            "Violation: clang_getToken defined but not called.","clang_getToken","MISRA08_0-1-10","6724","9"
            "Violation: clang_tokenize defined but not called.","clang_tokenize","MISRA08_0-1-10","6760","5"
            "Violation: clang_disposeTokens defined but not called.","clang_disposeTokens","MISRA08_0-1-10","6798","5"
            "Violation: clang_annotateTokens defined but not called.","clang_annotateTokens","MISRA08_0-1-10","7600","5"
            "Violation: clang_getCursorLinkage defined but not called.","clang_getCursorLinkage","MISRA08_0-1-10","7643","14"
            "Violation: clang_getCursorVisibility defined but not called.","clang_getCursorVisibility","MISRA08_0-1-10","7666","17"
            "Violation: clang_getCursorAvailability defined but not called.","clang_getCursorAvailability","MISRA08_0-1-10","7757","24"
            "Violation: clang_getCursorPlatformAvailability defined but not called.","clang_getCursorPlatformAvailability","MISRA08_0-1-10","7877","4"
            "Violation: clang_disposeCXPlatformAvailability defined but not called.","clang_disposeCXPlatformAvailability","MISRA08_0-1-10","7922","5"
            "Violation: clang_getCursorLanguage defined but not called.","clang_getCursorLanguage","MISRA08_0-1-10","7927","15"
            "Violation: clang_getCursorTLSKind defined but not called.","clang_getCursorTLSKind","MISRA08_0-1-10","7934","10"
            "Violation: clang_Cursor_getStorageClass defined but not called.","clang_Cursor_getStorageClass","MISRA08_0-1-10","7969","21"
            "Violation: clang_getCursorSemanticParent defined but not called.","clang_getCursorSemanticParent","MISRA08_0-1-10","8000","9"
            "Violation: clang_getCursorLexicalParent defined but not called.","clang_getCursorLexicalParent","MISRA08_0-1-10","8020","9"
            "Violation: clang_getIncludedFile defined but not called.","clang_getIncludedFile","MISRA08_0-1-10","8037","7"
            "Violation: clang_Cursor_getObjCPropertyAttributes defined but not called.","clang_Cursor_getObjCPropertyAttributes","MISRA08_0-1-10","8045","9"
            "Violation: clang_Cursor_getObjCPropertyGetterName defined but not called.","clang_Cursor_getObjCPropertyGetterName","MISRA08_0-1-10","8075","9"
            "Violation: clang_Cursor_getObjCPropertySetterName defined but not called.","clang_Cursor_getObjCPropertySetterName","MISRA08_0-1-10","8087","9"
            "Violation: clang_Cursor_getObjCDeclQualifiers defined but not called.","clang_Cursor_getObjCDeclQualifiers","MISRA08_0-1-10","8099","9"
            "Violation: clang_Cursor_isObjCOptional defined but not called.","clang_Cursor_isObjCOptional","MISRA08_0-1-10","8123","9"
            "Violation: clang_Cursor_isVariadic defined but not called.","clang_Cursor_isVariadic","MISRA08_0-1-10","8136","9"
            "Violation: clang_Cursor_isExternalSymbol defined but not called.","clang_Cursor_isExternalSymbol","MISRA08_0-1-10","8149","9"
            "Violation: clang_Cursor_getCommentRange defined but not called.","clang_Cursor_getCommentRange","MISRA08_0-1-10","8169","14"
            "Violation: clang_Cursor_getRawCommentText defined but not called.","clang_Cursor_getRawCommentText","MISRA08_0-1-10","8182","9"
            "Violation: clang_Cursor_getBriefCommentText defined but not called.","clang_Cursor_getBriefCommentText","MISRA08_0-1-10","8197","9"
            "Violation: clang_Cursor_getModule defined but not called.","clang_Cursor_getModule","MISRA08_0-1-10","8216","9"
            "Violation: clang_getModuleForFile defined but not called.","clang_getModuleForFile","MISRA08_0-1-10","8226","9"
            "Violation: clang_Module_getASTFile defined but not called.","clang_Module_getASTFile","MISRA08_0-1-10","8242","7"
            "Violation: clang_Module_getParent defined but not called.","clang_Module_getParent","MISRA08_0-1-10","8249","9"
            "Violation: clang_Module_getName defined but not called.","clang_Module_getName","MISRA08_0-1-10","8256","9"
            "Violation: clang_Module_getFullName defined but not called.","clang_Module_getFullName","MISRA08_0-1-10","8263","9"
            "Violation: clang_Module_isSystem defined but not called.","clang_Module_isSystem","MISRA08_0-1-10","8270","4"
            "Violation: clang_Module_getNumTopLevelHeaders defined but not called.","clang_Module_getNumTopLevelHeaders","MISRA08_0-1-10","8277","9"
            "Violation: clang_Module_getTopLevelHeader defined but not called.","clang_Module_getTopLevelHeader","MISRA08_0-1-10","8291","7"
            "Violation: clang_CXXConstructor_isDefaultConstructor defined but not called.","clang_CXXConstructor_isDefaultConstructor","MISRA08_0-1-10","8313","9"
            "Violation: clang_CXXConstructor_isCopyConstructor defined but not called.","clang_CXXConstructor_isCopyConstructor","MISRA08_0-1-10","8323","9"
            "Violation: clang_CXXConstructor_isMoveConstructor defined but not called.","clang_CXXConstructor_isMoveConstructor","MISRA08_0-1-10","8333","9"
            "Violation: clang_CXXConstructor_isConvertingConstructor defined but not called.","clang_CXXConstructor_isConvertingConstructor","MISRA08_0-1-10","8343","9"
            "Violation: clang_CXXField_isMutable defined but not called.","clang_CXXField_isMutable","MISRA08_0-1-10","8354","9"
            "Violation: clang_CXXMethod_isPureVirtual defined but not called.","clang_CXXMethod_isPureVirtual","MISRA08_0-1-10","8364","9"
            "Violation: clang_CXXMethod_isConst defined but not called.","clang_CXXMethod_isConst","MISRA08_0-1-10","8374","9"
            "Violation: clang_CXXMethod_isDefaulted defined but not called.","clang_CXXMethod_isDefaulted","MISRA08_0-1-10","8384","9"
            "Violation: clang_CXXMethod_isStatic defined but not called.","clang_CXXMethod_isStatic","MISRA08_0-1-10","8394","9"
            "Violation: clang_CXXMethod_isVirtual defined but not called.","clang_CXXMethod_isVirtual","MISRA08_0-1-10","8404","9"
            "Violation: clang_CXXRecord_isAbstract defined but not called.","clang_CXXRecord_isAbstract","MISRA08_0-1-10","8414","9"
            "Violation: clang_EnumDecl_isScoped defined but not called.","clang_EnumDecl_isScoped","MISRA08_0-1-10","8425","9"
            "Violation: clang_getIBOutletCollectionType defined but not called.","clang_getIBOutletCollectionType","MISRA08_0-1-10","8438","7"
            "Violation: clang_getSkippedRanges defined but not called.","clang_getSkippedRanges","MISRA08_0-1-10","8608","19"
            "Violation: clang_getAllSkippedRanges defined but not called.","clang_getAllSkippedRanges","MISRA08_0-1-10","8650","19"
            "Violation: clang_disposeSourceRangeList defined but not called.","clang_disposeSourceRangeList","MISRA08_0-1-10","8677","5"
            "Violation: clang_getClangVersion defined but not called.","clang_getClangVersion","MISRA08_0-1-10","8846","9"
            "Violation: SetSafetyThreadStackSize defined but not called.","SetSafetyThreadStackSize","MISRA08_0-1-10","8716","5"
            "Violation: getMacroInfo defined but not called.","getMacroInfo","MISRA08_0-1-10","8774","26"
            "Violation: checkForMacroInMacroDefinition defined but not called.","checkForMacroInMacroDefinition","MISRA08_0-1-10","8786","9"
            "Violation: VisitBlockDecl defined but not called.","VisitBlockDecl","MISRA08_0-1-10","586","20"
            "Violation: VisitTranslationUnitDecl defined but not called.","VisitTranslationUnitDecl","MISRA08_0-1-10","676","20"
            "Violation: VisitTypeAliasTemplateDecl defined but not called.","VisitTypeAliasTemplateDecl","MISRA08_0-1-10","680","20"
            "Violation: VisitTypeAliasDecl defined but not called.","VisitTypeAliasDecl","MISRA08_0-1-10","687","20"
            "Violation: VisitTypedefDecl defined but not called.","VisitTypedefDecl","MISRA08_0-1-10","694","20"
            "Violation: VisitClassTemplateSpecializationDecl defined but not called.","VisitClassTemplateSpecializationDecl","MISRA08_0-1-10","705","20"
            "Violation: VisitClassTemplatePartialSpecializationDecl defined but not called.","VisitClassTemplatePartialSpecializationDecl","MISRA08_0-1-10","737","20"
            "Violation: VisitTemplateTypeParmDecl defined but not called.","VisitTemplateTypeParmDecl","MISRA08_0-1-10","754","20"
            "Violation: VisitEnumConstantDecl defined but not called.","VisitEnumConstantDecl","MISRA08_0-1-10","764","20"
            "Violation: VisitFieldDecl defined but not called.","VisitFieldDecl","MISRA08_0-1-10","893","20"
            "Violation: VisitVarDecl defined but not called.","VisitVarDecl","MISRA08_0-1-10","906","20"
            "Violation: VisitNonTypeTemplateParmDecl defined but not called.","VisitNonTypeTemplateParmDecl","MISRA08_0-1-10","916","20"
            "Violation: VisitFunctionTemplateDecl defined but not called.","VisitFunctionTemplateDecl","MISRA08_0-1-10","927","20"
            "Violation: VisitClassTemplateDecl defined but not called.","VisitClassTemplateDecl","MISRA08_0-1-10","937","20"
            "Violation: VisitTemplateTemplateParmDecl defined but not called.","VisitTemplateTemplateParmDecl","MISRA08_0-1-10","947","20"
            "Violation: VisitObjCTypeParamDecl defined but not called.","VisitObjCTypeParamDecl","MISRA08_0-1-10","958","20"
            "Violation: VisitObjCMethodDecl defined but not called.","VisitObjCMethodDecl","MISRA08_0-1-10","970","20"
            "Violation: VisitObjCCategoryDecl defined but not called.","VisitObjCCategoryDecl","MISRA08_0-1-10","1068","20"
            "Violation: VisitObjCProtocolDecl defined but not called.","VisitObjCProtocolDecl","MISRA08_0-1-10","1085","20"
            "Violation: VisitObjCPropertyDecl defined but not called.","VisitObjCPropertyDecl","MISRA08_0-1-10","1098","20"
            "Violation: VisitObjCInterfaceDecl defined but not called.","VisitObjCInterfaceDecl","MISRA08_0-1-10","1149","20"
            "Violation: VisitObjCCategoryImplDecl defined but not called.","VisitObjCCategoryImplDecl","MISRA08_0-1-10","1183","20"
            "Violation: VisitObjCImplementationDecl defined but not called.","VisitObjCImplementationDecl","MISRA08_0-1-10","1192","20"
            "Violation: VisitObjCPropertyImplDecl defined but not called.","VisitObjCPropertyImplDecl","MISRA08_0-1-10","1206","20"
            "Violation: VisitNamespaceDecl defined but not called.","VisitNamespaceDecl","MISRA08_0-1-10","1214","20"
            "Violation: VisitNamespaceAliasDecl defined but not called.","VisitNamespaceAliasDecl","MISRA08_0-1-10","1218","20"
            "Violation: VisitUsingDecl defined but not called.","VisitUsingDecl","MISRA08_0-1-10","1228","20"
            "Violation: VisitUsingDirectiveDecl defined but not called.","VisitUsingDirectiveDecl","MISRA08_0-1-10","1241","20"
            "Violation: VisitUnresolvedUsingValueDecl defined but not called.","VisitUnresolvedUsingValueDecl","MISRA08_0-1-10","1251","20"
            "Violation: VisitUnresolvedUsingTypenameDecl defined but not called.","VisitUnresolvedUsingTypenameDecl","MISRA08_0-1-10","1261","20"
            "Violation: VisitStaticAssertDecl defined but not called.","VisitStaticAssertDecl","MISRA08_0-1-10","1271","20"
            "Violation: VisitFriendDecl defined but not called.","VisitFriendDecl","MISRA08_0-1-10","1280","20"
            "Violation: VisitNestedNameSpecifier defined but not called.","VisitNestedNameSpecifier","MISRA08_0-1-10","1317","20"
            "Violation: VisitLinkageSpecDecl defined but not called.","VisitLinkageSpecDecl","MISRA08_0-1-10","1497","20"
            "Violation: VisitQualifiedTypeLoc defined but not called.","VisitQualifiedTypeLoc","MISRA08_0-1-10","1501","20"
            "Violation: VisitBuiltinTypeLoc defined but not called.","VisitBuiltinTypeLoc","MISRA08_0-1-10","1505","20"
            "Violation: VisitTypedefTypeLoc defined but not called.","VisitTypedefTypeLoc","MISRA08_0-1-10","1557","20"
            "Violation: VisitUnresolvedUsingTypeLoc defined but not called.","VisitUnresolvedUsingTypeLoc","MISRA08_0-1-10","1561","20"
            "Violation: VisitTemplateTypeParmTypeLoc defined but not called.","VisitTemplateTypeParmTypeLoc","MISRA08_0-1-10","1572","20"
            "Violation: VisitObjCInterfaceTypeLoc defined but not called.","VisitObjCInterfaceTypeLoc","MISRA08_0-1-10","1576","20"
            "Violation: VisitObjCTypeParamTypeLoc defined but not called.","VisitObjCTypeParamTypeLoc","MISRA08_0-1-10","1580","20"
            "Violation: VisitObjCObjectTypeLoc defined but not called.","VisitObjCObjectTypeLoc","MISRA08_0-1-10","1592","20"
            "Violation: VisitObjCObjectPointerTypeLoc defined but not called.","VisitObjCObjectPointerTypeLoc","MISRA08_0-1-10","1610","20"
            "Violation: VisitParenTypeLoc defined but not called.","VisitParenTypeLoc","MISRA08_0-1-10","1614","20"
            "Violation: VisitPointerTypeLoc defined but not called.","VisitPointerTypeLoc","MISRA08_0-1-10","1618","20"
            "Violation: VisitBlockPointerTypeLoc defined but not called.","VisitBlockPointerTypeLoc","MISRA08_0-1-10","1622","20"
            "Violation: VisitMemberPointerTypeLoc defined but not called.","VisitMemberPointerTypeLoc","MISRA08_0-1-10","1626","20"
            "Violation: VisitLValueReferenceTypeLoc defined but not called.","VisitLValueReferenceTypeLoc","MISRA08_0-1-10","1630","20"
            "Violation: VisitRValueReferenceTypeLoc defined but not called.","VisitRValueReferenceTypeLoc","MISRA08_0-1-10","1634","20"
            "Violation: VisitAttributedTypeLoc defined but not called.","VisitAttributedTypeLoc","MISRA08_0-1-10","1638","20"
            "Violation: VisitDecayedTypeLoc defined but not called.","VisitDecayedTypeLoc","MISRA08_0-1-10","1665","20"
            "Violation: VisitAdjustedTypeLoc defined but not called.","VisitAdjustedTypeLoc","MISRA08_0-1-10","1669","20"
            "Violation: VisitDeducedTemplateSpecializationTypeLoc defined but not called.","VisitDeducedTemplateSpecializationTypeLoc","MISRA08_0-1-10","1673","20"
            "Violation: VisitTemplateSpecializationTypeLoc defined but not called.","VisitTemplateSpecializationTypeLoc","MISRA08_0-1-10","1682","20"
            "Violation: VisitTypeOfExprTypeLoc defined but not called.","VisitTypeOfExprTypeLoc","MISRA08_0-1-10","1697","20"
            "Violation: VisitTypeOfTypeLoc defined but not called.","VisitTypeOfTypeLoc","MISRA08_0-1-10","1701","20"
            "Violation: VisitUnaryTransformTypeLoc defined but not called.","VisitUnaryTransformTypeLoc","MISRA08_0-1-10","1708","20"
            "Violation: VisitDependentNameTypeLoc defined but not called.","VisitDependentNameTypeLoc","MISRA08_0-1-10","1715","20"
            "Violation: VisitDependentTemplateSpecializationTypeLoc defined but not called.","VisitDependentTemplateSpecializationTypeLoc","MISRA08_0-1-10","1719","20"
            "Violation: VisitElaboratedTypeLoc defined but not called.","VisitElaboratedTypeLoc","MISRA08_0-1-10","1734","20"
            "Violation: VisitPackExpansionTypeLoc defined but not called.","VisitPackExpansionTypeLoc","MISRA08_0-1-10","1741","20"
            "Violation: VisitDecltypeTypeLoc defined but not called.","VisitDecltypeTypeLoc","MISRA08_0-1-10","1745","20"
            "Violation: VisitInjectedClassNameTypeLoc defined but not called.","VisitInjectedClassNameTypeLoc","MISRA08_0-1-10","1752","20"
            "Violation: VisitAtomicTypeLoc defined but not called.","VisitAtomicTypeLoc","MISRA08_0-1-10","1756","20"
            "Violation: VisitPipeTypeLoc defined but not called.","VisitPipeTypeLoc","MISRA08_0-1-10","1760","20"
            "Violation: VisitComplexTypeLoc defined but not called.","VisitComplexTypeLoc","MISRA08_0-1-10","1769","0"
            "Violation: VisitConstantArrayTypeLoc defined but not called.","VisitConstantArrayTypeLoc","MISRA08_0-1-10","1770","0"
            "Violation: VisitIncompleteArrayTypeLoc defined but not called.","VisitIncompleteArrayTypeLoc","MISRA08_0-1-10","1771","0"
            "Violation: VisitVariableArrayTypeLoc defined but not called.","VisitVariableArrayTypeLoc","MISRA08_0-1-10","1772","0"
            "Violation: VisitDependentSizedArrayTypeLoc defined but not called.","VisitDependentSizedArrayTypeLoc","MISRA08_0-1-10","1773","0"
            "Violation: VisitDependentAddressSpaceTypeLoc defined but not called.","VisitDependentAddressSpaceTypeLoc","MISRA08_0-1-10","1774","0"
            "Violation: VisitDependentVectorTypeLoc defined but not called.","VisitDependentVectorTypeLoc","MISRA08_0-1-10","1775","0"
            "Violation: VisitDependentSizedExtVectorTypeLoc defined but not called.","VisitDependentSizedExtVectorTypeLoc","MISRA08_0-1-10","1776","0"
            "Violation: VisitVectorTypeLoc defined but not called.","VisitVectorTypeLoc","MISRA08_0-1-10","1777","0"
            "Violation: VisitExtVectorTypeLoc defined but not called.","VisitExtVectorTypeLoc","MISRA08_0-1-10","1778","0"
            "Violation: VisitFunctionProtoTypeLoc defined but not called.","VisitFunctionProtoTypeLoc","MISRA08_0-1-10","1779","0"
            "Violation: VisitFunctionNoProtoTypeLoc defined but not called.","VisitFunctionNoProtoTypeLoc","MISRA08_0-1-10","1780","0"
            "Violation: VisitRecordTypeLoc defined but not called.","VisitRecordTypeLoc","MISRA08_0-1-10","1781","0"
            "Violation: VisitEnumTypeLoc defined but not called.","VisitEnumTypeLoc","MISRA08_0-1-10","1782","0"
            "Violation: VisitSubstTemplateTypeParmTypeLoc defined but not called.","VisitSubstTemplateTypeParmTypeLoc","MISRA08_0-1-10","1783","0"
            "Violation: VisitSubstTemplateTypeParmPackTypeLoc defined but not called.","VisitSubstTemplateTypeParmPackTypeLoc","MISRA08_0-1-10","1784","0"
            "Violation: VisitAutoTypeLoc defined but not called.","VisitAutoTypeLoc","MISRA08_0-1-10","1785","0"
            "Violation: Visit defined but not called.","Visit","MISRA08_0-1-10","3172","20"
            "Violation: classof defined but not called.","classof","MISRA08_0-1-10","1827","0"
            "Violation: get defined but not called.","get","MISRA08_0-1-10","1827","0"
            "Violation: classof defined but not called.","classof","MISRA08_0-1-10","1828","0"
            "Violation: get defined but not called.","get","MISRA08_0-1-10","1828","0"
            "Violation: classof defined but not called.","classof","MISRA08_0-1-10","1829","0"
            "Violation: get defined but not called.","get","MISRA08_0-1-10","1829","0"
            "Violation: classof defined but not called.","classof","MISRA08_0-1-10","1830","0"
            "Violation: get defined but not called.","get","MISRA08_0-1-10","1830","0"
            "Violation: classof defined but not called.","classof","MISRA08_0-1-10","1831","0"
            "Violation: get defined but not called.","get","MISRA08_0-1-10","1831","0"
            "Violation: classof defined but not called.","classof","MISRA08_0-1-10","1832","0"
            "Violation: get defined but not called.","get","MISRA08_0-1-10","1832","0"
